Date_of_Stay	Bucket	Season
2016-07-03	KLZ	Ramadan
2016-07-03	QRSTY	Ramadan
2016-07-04	ABEF	Ramadan
2016-07-04	CDGH	Ramadan
2016-07-04	IJ	Ramadan
2016-07-04	KLZ	Ramadan
2016-07-04	QRSTY	Ramadan
2016-07-05	ABEF	Ramadan
2016-07-05	CDGH	Ramadan
2016-07-05	IJ	Ramadan
2016-07-05	KLZ	Ramadan
2016-07-05	QRSTY	Ramadan
2016-07-06	ABEF	Low
2016-07-06	CDGH	Low
2016-07-06	IJ	Low
2016-07-06	KLZ	Low
2016-07-06	QRSTY	Low
2016-07-07	ABEF	Low
2016-07-07	CDGH	Low
2016-07-07	IJ	Low
2016-07-07	KLZ	Low
2016-07-07	QRSTY	Low
2016-07-08	ABEF	Low
2016-07-08	CDGH	Low
2016-07-08	IJ	Low
2016-07-08	KLZ	Low
2016-07-08	QRSTY	Low
2016-07-09	ABEF	Low
2016-07-09	CDGH	Low
2016-07-09	IJ	Low
2016-07-09	KLZ	Low
2016-07-09	QRSTY	Low
2016-07-10	ABEF	Low
2016-07-10	CDGH	Low
2016-07-10	IJ	Low
2016-07-10	KLZ	Low
2016-07-10	QRSTY	Low
2016-07-11	ABEF	Low
2016-07-11	CDGH	Low
2016-07-11	IJ	Low
2016-07-11	KLZ	Low
2016-07-11	QRSTY	Low
2016-07-12	ABEF	Low
2016-07-12	CDGH	Low
2016-07-12	IJ	Low
2016-07-12	KLZ	Low
2016-07-12	QRSTY	Low
2016-07-13	ABEF	Low
2016-07-13	CDGH	Low
2016-07-13	IJ	Low
2016-07-13	KLZ	Low
2016-07-13	QRSTY	Low
2016-07-14	ABEF	Low
2016-07-14	CDGH	Low
2016-07-14	IJ	Low
2016-07-14	KLZ	Low
2016-07-14	QRSTY	Low
2016-07-15	ABEF	Low
2016-07-15	CDGH	Low
2016-07-15	IJ	Low
2016-07-15	KLZ	Low
2016-07-15	QRSTY	Low
2016-07-16	ABEF	Low
2016-07-16	CDGH	Low
2016-07-16	IJ	Low
2016-07-16	KLZ	Low
2016-07-16	QRSTY	Low
2016-07-17	ABEF	Low
2016-07-17	CDGH	Low
2016-07-17	IJ	Low
2016-07-17	KLZ	Low
2016-07-17	QRSTY	Low
2016-07-18	ABEF	Low
2016-07-18	CDGH	Low
2016-07-18	IJ	Low
2016-07-18	KLZ	Low
2016-07-18	QRSTY	Low
2016-07-19	ABEF	Low
2016-07-19	CDGH	Low
2016-07-19	IJ	Low
2016-07-19	KLZ	Low
2016-07-19	QRSTY	Low
2016-07-20	ABEF	Low
2016-07-20	CDGH	Low
2016-07-20	IJ	Low
2016-07-20	KLZ	Low
2016-07-20	QRSTY	Low
2016-07-21	ABEF	Low
2016-07-21	CDGH	Low
2016-07-21	IJ	Low
2016-07-21	KLZ	Low
2016-07-21	QRSTY	Low
2016-07-22	ABEF	Low
2016-07-22	CDGH	Low
2016-07-22	IJ	Low
2016-07-22	KLZ	Low
2016-07-22	QRSTY	Low
2016-07-23	ABEF	Low
2016-07-23	CDGH	Low
2016-07-23	IJ	Low
2016-07-23	KLZ	Low
2016-07-23	QRSTY	Low
2016-07-24	ABEF	Low
2016-07-24	CDGH	Low
2016-07-24	IJ	Low
2016-07-24	KLZ	Low
2016-07-24	QRSTY	Low
2016-07-25	ABEF	Low
2016-07-25	CDGH	Low
2016-07-25	IJ	Low
2016-07-25	KLZ	Low
2016-07-25	QRSTY	Low
2016-07-26	ABEF	Low
2016-07-26	CDGH	Low
2016-07-26	IJ	Low
2016-07-26	KLZ	Low
2016-07-26	QRSTY	Low
2016-07-27	ABEF	Low
2016-07-27	CDGH	Low
2016-07-27	IJ	Low
2016-07-27	KLZ	Low
2016-07-27	QRSTY	Low
2016-07-28	ABEF	Low
2016-07-28	CDGH	Low
2016-07-28	IJ	Low
2016-07-28	KLZ	Low
2016-07-28	QRSTY	Low
2016-07-29	ABEF	Low
2016-07-29	CDGH	Low
2016-07-29	IJ	Low
2016-07-29	KLZ	Low
2016-07-29	QRSTY	Low
2016-07-30	ABEF	Low
2016-07-30	CDGH	Low
2016-07-30	IJ	Low
2016-07-30	KLZ	Low
2016-07-30	QRSTY	Low
2016-07-31	ABEF	Low
2016-07-31	CDGH	Low
2016-07-31	IJ	Low
2016-07-31	KLZ	Low
2016-07-31	QRSTY	Low
2016-08-01	ABEF	Low
2016-08-01	CDGH	Low
2016-08-01	IJ	Low
2016-08-01	KLZ	Low
2016-08-01	QRSTY	Low
2016-08-02	ABEF	Low
2016-08-02	CDGH	Low
2016-08-02	IJ	Low
2016-08-02	KLZ	Low
2016-08-02	QRSTY	Low
2016-08-03	ABEF	Low
2016-08-03	CDGH	Low
2016-08-03	IJ	Low
2016-08-03	KLZ	Low
2016-08-03	QRSTY	Low
2016-08-04	ABEF	Low
2016-08-04	CDGH	Low
2016-08-04	IJ	Low
2016-08-04	KLZ	Low
2016-08-04	QRSTY	Low
2016-08-05	ABEF	Low
2016-08-05	CDGH	Low
2016-08-05	IJ	Low
2016-08-05	KLZ	Low
2016-08-05	QRSTY	Low
2016-08-06	ABEF	Low
2016-08-06	CDGH	Low
2016-08-06	IJ	Low
2016-08-06	KLZ	Low
2016-08-06	QRSTY	Low
2016-08-07	ABEF	Low
2016-08-07	CDGH	Low
2016-08-07	IJ	Low
2016-08-07	KLZ	Low
2016-08-07	QRSTY	Low
2016-08-08	ABEF	Low
2016-08-08	CDGH	Low
2016-08-08	IJ	Low
2016-08-08	KLZ	Low
2016-08-08	QRSTY	Low
2016-08-09	ABEF	Low
2016-08-09	CDGH	Low
2016-08-09	IJ	Low
2016-08-09	KLZ	Low
2016-08-09	QRSTY	Low
2016-08-10	ABEF	Low
2016-08-10	CDGH	Low
2016-08-10	IJ	Low
2016-08-10	KLZ	Low
2016-08-10	QRSTY	Low
2016-08-11	ABEF	Low
2016-08-11	CDGH	Low
2016-08-11	IJ	Low
2016-08-11	KLZ	Low
2016-08-11	QRSTY	Low
2016-08-12	ABEF	Low
2016-08-12	CDGH	Low
2016-08-12	IJ	Low
2016-08-12	KLZ	Low
2016-08-12	QRSTY	Low
2016-08-13	ABEF	Low
2016-08-13	CDGH	Low
2016-08-13	IJ	Low
2016-08-13	KLZ	Low
2016-08-13	QRSTY	Low
2016-08-14	ABEF	Low
2016-08-14	CDGH	Low
2016-08-14	IJ	Low
2016-08-14	KLZ	Low
2016-08-14	QRSTY	Low
2016-08-15	ABEF	Low
2016-08-15	CDGH	Low
2016-08-15	IJ	Low
2016-08-15	KLZ	Low
2016-08-15	QRSTY	Low
2016-08-16	ABEF	Low
2016-08-16	CDGH	Low
2016-08-16	IJ	Low
2016-08-16	KLZ	Low
2016-08-16	QRSTY	Low
2016-08-17	ABEF	Low
2016-08-17	CDGH	Low
2016-08-17	IJ	Low
2016-08-17	KLZ	Low
2016-08-17	QRSTY	Low
2016-08-18	ABEF	Low
2016-08-18	CDGH	Low
2016-08-18	IJ	Low
2016-08-18	KLZ	Low
2016-08-18	QRSTY	Low
2016-08-19	ABEF	Low
2016-08-19	CDGH	Low
2016-08-19	IJ	Low
2016-08-19	KLZ	Low
2016-08-19	QRSTY	Low
2016-08-20	ABEF	Low
2016-08-20	CDGH	Low
2016-08-20	IJ	Low
2016-08-20	KLZ	Low
2016-08-20	QRSTY	Low
2016-08-21	ABEF	Low
2016-08-21	CDGH	Low
2016-08-21	IJ	Low
2016-08-21	KLZ	Low
2016-08-21	QRSTY	Low
2016-08-22	ABEF	Low
2016-08-22	CDGH	Low
2016-08-22	IJ	Low
2016-08-22	KLZ	Low
2016-08-22	QRSTY	Low
2016-08-23	ABEF	Low
2016-08-23	CDGH	Low
2016-08-23	IJ	Low
2016-08-23	KLZ	Low
2016-08-23	QRSTY	Low
2016-08-24	ABEF	Low
2016-08-24	CDGH	Low
2016-08-24	IJ	Low
2016-08-24	KLZ	Low
2016-08-24	QRSTY	Low
2016-08-25	ABEF	Low
2016-08-25	CDGH	Low
2016-08-25	IJ	Low
2016-08-25	KLZ	Low
2016-08-25	QRSTY	Low
2016-08-26	ABEF	Low
2016-08-26	CDGH	Low
2016-08-26	IJ	Low
2016-08-26	KLZ	Low
2016-08-26	QRSTY	Low
2016-08-27	ABEF	Low
2016-08-27	CDGH	Low
2016-08-27	IJ	Low
2016-08-27	KLZ	Low
2016-08-27	QRSTY	Low
2016-08-28	ABEF	Low
2016-08-28	CDGH	Low
2016-08-28	IJ	Low
2016-08-28	KLZ	Low
2016-08-28	QRSTY	Low
2016-08-29	ABEF	Low
2016-08-29	CDGH	Low
2016-08-29	IJ	Low
2016-08-29	KLZ	Low
2016-08-29	QRSTY	Low
2016-08-30	ABEF	Low
2016-08-30	CDGH	Low
2016-08-30	IJ	Low
2016-08-30	KLZ	Low
2016-08-30	QRSTY	Low
2016-08-31	ABEF	Low
2016-08-31	CDGH	Low
2016-08-31	IJ	Low
2016-08-31	KLZ	Low
2016-08-31	QRSTY	Low
2016-09-01	ABEF	Low
2016-09-01	CDGH	Low
2016-09-01	IJ	Mid
2016-09-01	KLZ	Low
2016-09-01	QRSTY	Mid
2016-09-02	ABEF	Low
2016-09-02	CDGH	Low
2016-09-02	IJ	Mid
2016-09-02	KLZ	Low
2016-09-02	QRSTY	Mid
2016-09-03	ABEF	Low
2016-09-03	CDGH	Low
2016-09-03	IJ	Mid
2016-09-03	KLZ	Low
2016-09-03	QRSTY	Mid
2016-09-04	ABEF	Low
2016-09-04	CDGH	Low
2016-09-04	IJ	Mid
2016-09-04	KLZ	Low
2016-09-04	QRSTY	Mid
2016-09-05	ABEF	Low
2016-09-05	CDGH	Low
2016-09-05	IJ	Mid
2016-09-05	KLZ	Low
2016-09-05	QRSTY	Mid
2016-09-06	ABEF	Low
2016-09-06	CDGH	Low
2016-09-06	IJ	Mid
2016-09-06	KLZ	Low
2016-09-06	QRSTY	Mid
2016-09-07	ABEF	Low
2016-09-07	CDGH	Low
2016-09-07	IJ	Mid
2016-09-07	KLZ	Low
2016-09-07	QRSTY	Mid
2016-09-08	ABEF	Low
2016-09-08	CDGH	Low
2016-09-08	IJ	Mid
2016-09-08	KLZ	Low
2016-09-08	QRSTY	Mid
2016-09-09	ABEF	Low
2016-09-09	CDGH	Low
2016-09-09	IJ	Mid
2016-09-09	KLZ	Low
2016-09-09	QRSTY	Mid
2016-09-10	ABEF	Low
2016-09-10	CDGH	Low
2016-09-10	IJ	Mid
2016-09-10	KLZ	Low
2016-09-10	QRSTY	Mid
2016-09-11	ABEF	Low
2016-09-11	CDGH	Low
2016-09-11	IJ	Mid
2016-09-11	KLZ	Low
2016-09-11	QRSTY	Mid
2016-09-12	ABEF	Low
2016-09-12	CDGH	Low
2016-09-12	IJ	Mid
2016-09-12	KLZ	Low
2016-09-12	QRSTY	Mid
2016-09-13	ABEF	Low
2016-09-13	CDGH	Low
2016-09-13	IJ	Mid
2016-09-13	KLZ	Low
2016-09-13	QRSTY	Mid
2016-09-14	ABEF	Low
2016-09-14	CDGH	Low
2016-09-14	IJ	Mid
2016-09-14	KLZ	Low
2016-09-14	QRSTY	Mid
2016-09-15	ABEF	Low
2016-09-15	CDGH	Low
2016-09-15	IJ	Mid
2016-09-15	KLZ	Low
2016-09-15	QRSTY	Mid
2016-09-16	ABEF	Low
2016-09-16	CDGH	Low
2016-09-16	IJ	Mid
2016-09-16	KLZ	Low
2016-09-16	QRSTY	Mid
2016-09-17	ABEF	Low
2016-09-17	CDGH	Low
2016-09-17	IJ	Mid
2016-09-17	KLZ	Low
2016-09-17	QRSTY	Mid
2016-09-18	ABEF	Low
2016-09-18	CDGH	Low
2016-09-18	IJ	Mid
2016-09-18	KLZ	Low
2016-09-18	QRSTY	Mid
2016-09-19	ABEF	Low
2016-09-19	CDGH	Low
2016-09-19	IJ	Mid
2016-09-19	KLZ	Low
2016-09-19	QRSTY	Mid
2016-09-20	ABEF	Low
2016-09-20	CDGH	Low
2016-09-20	IJ	Mid
2016-09-20	KLZ	Low
2016-09-20	QRSTY	Mid
2016-09-21	ABEF	Low
2016-09-21	CDGH	Low
2016-09-21	IJ	Mid
2016-09-21	KLZ	Low
2016-09-21	QRSTY	Mid
2016-09-22	ABEF	Low
2016-09-22	CDGH	Low
2016-09-22	IJ	Mid
2016-09-22	KLZ	Low
2016-09-22	QRSTY	Mid
2016-09-23	ABEF	Low
2016-09-23	CDGH	Low
2016-09-23	IJ	Mid
2016-09-23	KLZ	Low
2016-09-23	QRSTY	Mid
2016-09-24	ABEF	Low
2016-09-24	CDGH	Low
2016-09-24	IJ	Mid
2016-09-24	KLZ	Low
2016-09-24	QRSTY	Mid
2016-09-25	ABEF	Low
2016-09-25	CDGH	Low
2016-09-25	IJ	Mid
2016-09-25	KLZ	Low
2016-09-25	QRSTY	Mid
2016-09-26	ABEF	Low
2016-09-26	CDGH	Low
2016-09-26	IJ	Mid
2016-09-26	KLZ	Low
2016-09-26	QRSTY	Mid
2016-09-27	ABEF	Low
2016-09-27	CDGH	Low
2016-09-27	IJ	Mid
2016-09-27	KLZ	Low
2016-09-27	QRSTY	Mid
2016-09-28	ABEF	Low
2016-09-28	CDGH	Low
2016-09-28	IJ	Mid
2016-09-28	KLZ	Low
2016-09-28	QRSTY	Mid
2016-09-29	ABEF	Low
2016-09-29	CDGH	Low
2016-09-29	IJ	Mid
2016-09-29	KLZ	Low
2016-09-29	QRSTY	Mid
2016-09-30	ABEF	Low
2016-09-30	CDGH	Low
2016-09-30	IJ	Mid
2016-09-30	KLZ	Low
2016-09-30	QRSTY	Mid
2016-10-01	ABEF	Low
2016-10-01	CDGH	Low
2016-10-01	IJ	High
2016-10-01	KLZ	Mid
2016-10-01	QRSTY	Mid
2016-10-02	ABEF	Low
2016-10-02	CDGH	Low
2016-10-02	IJ	High
2016-10-02	KLZ	Mid
2016-10-02	QRSTY	Mid
2016-10-03	ABEF	Low
2016-10-03	CDGH	Low
2016-10-03	IJ	High
2016-10-03	KLZ	Mid
2016-10-03	QRSTY	Mid
2016-10-04	ABEF	Low
2016-10-04	CDGH	Low
2016-10-04	IJ	High
2016-10-04	KLZ	Mid
2016-10-04	QRSTY	Mid
2016-10-05	ABEF	Low
2016-10-05	CDGH	Low
2016-10-05	IJ	High
2016-10-05	KLZ	Mid
2016-10-05	QRSTY	Mid
2016-10-06	ABEF	Low
2016-10-06	CDGH	Low
2016-10-06	IJ	High
2016-10-06	KLZ	Mid
2016-10-06	QRSTY	Mid
2016-10-07	ABEF	Low
2016-10-07	CDGH	Low
2016-10-07	IJ	High
2016-10-07	KLZ	Mid
2016-10-07	QRSTY	Mid
2016-10-08	ABEF	Low
2016-10-08	CDGH	Low
2016-10-08	IJ	High
2016-10-08	KLZ	Mid
2016-10-08	QRSTY	Mid
2016-10-09	ABEF	Low
2016-10-09	CDGH	Low
2016-10-09	IJ	High
2016-10-09	KLZ	Mid
2016-10-09	QRSTY	Mid
2016-10-10	ABEF	Low
2016-10-10	CDGH	Low
2016-10-10	IJ	High
2016-10-10	KLZ	Mid
2016-10-10	QRSTY	Mid
2016-10-11	ABEF	Low
2016-10-11	CDGH	Low
2016-10-11	IJ	High
2016-10-11	KLZ	Mid
2016-10-11	QRSTY	Mid
2016-10-12	ABEF	Low
2016-10-12	CDGH	Low
2016-10-12	IJ	High
2016-10-12	KLZ	Mid
2016-10-12	QRSTY	Mid
2016-10-13	ABEF	Low
2016-10-13	CDGH	Low
2016-10-13	IJ	High
2016-10-13	KLZ	Mid
2016-10-13	QRSTY	Mid
2016-10-14	ABEF	Low
2016-10-14	CDGH	Low
2016-10-14	IJ	High
2016-10-14	KLZ	Mid
2016-10-14	QRSTY	Mid
2016-10-15	ABEF	Low
2016-10-15	CDGH	Low
2016-10-15	IJ	High
2016-10-15	KLZ	Mid
2016-10-15	QRSTY	Mid
2016-10-16	ABEF	Low
2016-10-16	CDGH	Low
2016-10-16	IJ	High
2016-10-16	KLZ	Mid
2016-10-16	QRSTY	Mid
2016-10-17	ABEF	Low
2016-10-17	CDGH	Low
2016-10-17	IJ	High
2016-10-17	KLZ	Mid
2016-10-17	QRSTY	Mid
2016-10-18	ABEF	Low
2016-10-18	CDGH	Low
2016-10-18	IJ	High
2016-10-18	KLZ	Mid
2016-10-18	QRSTY	Mid
2016-10-19	ABEF	Low
2016-10-19	CDGH	Low
2016-10-19	IJ	High
2016-10-19	KLZ	Mid
2016-10-19	QRSTY	Mid
2016-10-20	ABEF	Low
2016-10-20	CDGH	Low
2016-10-20	IJ	High
2016-10-20	KLZ	Mid
2016-10-20	QRSTY	Mid
2016-10-21	ABEF	Low
2016-10-21	CDGH	Low
2016-10-21	IJ	High
2016-10-21	KLZ	Mid
2016-10-21	QRSTY	Mid
2016-10-22	ABEF	Low
2016-10-22	CDGH	Low
2016-10-22	IJ	High
2016-10-22	KLZ	Mid
2016-10-22	QRSTY	Mid
2016-10-23	ABEF	Low
2016-10-23	CDGH	Low
2016-10-23	IJ	High
2016-10-23	KLZ	Mid
2016-10-23	QRSTY	Mid
2016-10-24	ABEF	Low
2016-10-24	CDGH	Low
2016-10-24	IJ	High
2016-10-24	KLZ	Mid
2016-10-24	QRSTY	Mid
2016-10-25	ABEF	Low
2016-10-25	CDGH	Low
2016-10-25	IJ	High
2016-10-25	KLZ	Mid
2016-10-25	QRSTY	Mid
2016-10-26	ABEF	Low
2016-10-26	CDGH	Low
2016-10-26	IJ	High
2016-10-26	KLZ	Mid
2016-10-26	QRSTY	Mid
2016-10-27	ABEF	Low
2016-10-27	CDGH	Low
2016-10-27	IJ	High
2016-10-27	KLZ	Mid
2016-10-27	QRSTY	Mid
2016-10-28	ABEF	Low
2016-10-28	CDGH	Low
2016-10-28	IJ	High
2016-10-28	KLZ	Mid
2016-10-28	QRSTY	Mid
2016-10-29	ABEF	Low
2016-10-29	CDGH	Low
2016-10-29	IJ	High
2016-10-29	KLZ	Mid
2016-10-29	QRSTY	Mid
2016-10-30	ABEF	Low
2016-10-30	CDGH	Low
2016-10-30	IJ	High
2016-10-30	KLZ	Mid
2016-10-30	QRSTY	Mid
2016-10-31	ABEF	Low
2016-10-31	CDGH	Low
2016-10-31	IJ	High
2016-10-31	KLZ	Mid
2016-10-31	QRSTY	Mid
2016-11-01	ABEF	High
2016-11-01	CDGH	High
2016-11-01	IJ	Mid
2016-11-01	KLZ	High
2016-11-01	QRSTY	High
2016-11-02	ABEF	High
2016-11-02	CDGH	High
2016-11-02	IJ	Mid
2016-11-02	KLZ	High
2016-11-02	QRSTY	High
2016-11-03	ABEF	High
2016-11-03	CDGH	High
2016-11-03	IJ	Mid
2016-11-03	KLZ	High
2016-11-03	QRSTY	High
2016-11-04	ABEF	High
2016-11-04	CDGH	High
2016-11-04	IJ	Mid
2016-11-04	KLZ	High
2016-11-04	QRSTY	High
2016-11-05	ABEF	High
2016-11-05	CDGH	High
2016-11-05	IJ	Mid
2016-11-05	KLZ	High
2016-11-05	QRSTY	High
2016-11-06	ABEF	High
2016-11-06	CDGH	High
2016-11-06	IJ	Mid
2016-11-06	KLZ	High
2016-11-06	QRSTY	High
2016-11-07	ABEF	High
2016-11-07	CDGH	High
2016-11-07	IJ	Mid
2016-11-07	KLZ	High
2016-11-07	QRSTY	High
2016-11-08	ABEF	High
2016-11-08	CDGH	High
2016-11-08	IJ	Mid
2016-11-08	KLZ	High
2016-11-08	QRSTY	High
2016-11-09	ABEF	High
2016-11-09	CDGH	High
2016-11-09	IJ	Mid
2016-11-09	KLZ	High
2016-11-09	QRSTY	High
2016-11-10	ABEF	High
2016-11-10	CDGH	High
2016-11-10	IJ	Mid
2016-11-10	KLZ	High
2016-11-10	QRSTY	High
2016-11-11	ABEF	High
2016-11-11	CDGH	High
2016-11-11	IJ	Mid
2016-11-11	KLZ	High
2016-11-11	QRSTY	High
2016-11-12	ABEF	High
2016-11-12	CDGH	High
2016-11-12	IJ	Mid
2016-11-12	KLZ	High
2016-11-12	QRSTY	High
2016-11-13	ABEF	High
2016-11-13	CDGH	High
2016-11-13	IJ	Mid
2016-11-13	KLZ	High
2016-11-13	QRSTY	High
2016-11-14	ABEF	High
2016-11-14	CDGH	High
2016-11-14	IJ	Mid
2016-11-14	KLZ	High
2016-11-14	QRSTY	High
2016-11-15	ABEF	High
2016-11-15	CDGH	High
2016-11-15	IJ	Mid
2016-11-15	KLZ	High
2016-11-15	QRSTY	High
2016-11-16	ABEF	High
2016-11-16	CDGH	High
2016-11-16	IJ	Mid
2016-11-16	KLZ	High
2016-11-16	QRSTY	High
2016-11-17	ABEF	High
2016-11-17	CDGH	High
2016-11-17	IJ	Mid
2016-11-17	KLZ	High
2016-11-17	QRSTY	High
2016-11-18	ABEF	High
2016-11-18	CDGH	High
2016-11-18	IJ	Mid
2016-11-18	KLZ	High
2016-11-18	QRSTY	High
2016-11-19	ABEF	High
2016-11-19	CDGH	High
2016-11-19	IJ	Mid
2016-11-19	KLZ	High
2016-11-19	QRSTY	High
2016-11-20	ABEF	High
2016-11-20	CDGH	High
2016-11-20	IJ	Mid
2016-11-20	KLZ	High
2016-11-20	QRSTY	High
2016-11-21	ABEF	High
2016-11-21	CDGH	High
2016-11-21	IJ	Mid
2016-11-21	KLZ	High
2016-11-21	QRSTY	High
2016-11-22	ABEF	High
2016-11-22	CDGH	High
2016-11-22	IJ	Mid
2016-11-22	KLZ	High
2016-11-22	QRSTY	High
2016-11-23	ABEF	High
2016-11-23	CDGH	High
2016-11-23	IJ	Mid
2016-11-23	KLZ	High
2016-11-23	QRSTY	High
2016-11-24	ABEF	High
2016-11-24	CDGH	High
2016-11-24	IJ	Mid
2016-11-24	KLZ	High
2016-11-24	QRSTY	High
2016-11-25	ABEF	High
2016-11-25	CDGH	High
2016-11-25	IJ	Mid
2016-11-25	KLZ	High
2016-11-25	QRSTY	High
2016-11-26	ABEF	High
2016-11-26	CDGH	High
2016-11-26	IJ	Mid
2016-11-26	KLZ	High
2016-11-26	QRSTY	High
2016-11-27	ABEF	High
2016-11-27	CDGH	High
2016-11-27	IJ	Mid
2016-11-27	KLZ	High
2016-11-27	QRSTY	High
2016-11-28	ABEF	High
2016-11-28	CDGH	High
2016-11-28	IJ	Mid
2016-11-28	KLZ	High
2016-11-28	QRSTY	High
2016-11-29	ABEF	High
2016-11-29	CDGH	High
2016-11-29	IJ	Mid
2016-11-29	KLZ	High
2016-11-29	QRSTY	High
2016-11-30	ABEF	High
2016-11-30	CDGH	High
2016-11-30	IJ	Mid
2016-11-30	KLZ	High
2016-11-30	QRSTY	High
2016-12-01	ABEF	Mid
2016-12-01	CDGH	Mid
2016-12-01	IJ	Mid
2016-12-01	KLZ	Mid
2016-12-01	QRSTY	Low
2016-12-02	ABEF	Mid
2016-12-02	CDGH	Mid
2016-12-02	IJ	Mid
2016-12-02	KLZ	Mid
2016-12-02	QRSTY	Low
2016-12-03	ABEF	Mid
2016-12-03	CDGH	Mid
2016-12-03	IJ	Mid
2016-12-03	KLZ	Mid
2016-12-03	QRSTY	Low
2016-12-04	ABEF	Mid
2016-12-04	CDGH	Mid
2016-12-04	IJ	Mid
2016-12-04	KLZ	Mid
2016-12-04	QRSTY	Low
2016-12-05	ABEF	Mid
2016-12-05	CDGH	Mid
2016-12-05	IJ	Mid
2016-12-05	KLZ	Mid
2016-12-05	QRSTY	Low
2016-12-06	ABEF	Mid
2016-12-06	CDGH	Mid
2016-12-06	IJ	Mid
2016-12-06	KLZ	Mid
2016-12-06	QRSTY	Low
2016-12-07	ABEF	Mid
2016-12-07	CDGH	Mid
2016-12-07	IJ	Mid
2016-12-07	KLZ	Mid
2016-12-07	QRSTY	Low
2016-12-08	ABEF	Mid
2016-12-08	CDGH	Mid
2016-12-08	IJ	Mid
2016-12-08	KLZ	Mid
2016-12-08	QRSTY	Low
2016-12-09	ABEF	Mid
2016-12-09	CDGH	Mid
2016-12-09	IJ	Mid
2016-12-09	KLZ	Mid
2016-12-09	QRSTY	Low
2016-12-10	ABEF	Mid
2016-12-10	CDGH	Mid
2016-12-10	IJ	Mid
2016-12-10	KLZ	Mid
2016-12-10	QRSTY	Low
2016-12-11	ABEF	Mid
2016-12-11	CDGH	Mid
2016-12-11	IJ	Mid
2016-12-11	KLZ	Mid
2016-12-11	QRSTY	Low
2016-12-12	ABEF	Mid
2016-12-12	CDGH	Mid
2016-12-12	IJ	Mid
2016-12-12	KLZ	Mid
2016-12-12	QRSTY	Low
2016-12-13	ABEF	Mid
2016-12-13	CDGH	Mid
2016-12-13	IJ	Mid
2016-12-13	KLZ	Mid
2016-12-13	QRSTY	Low
2016-12-14	ABEF	Mid
2016-12-14	CDGH	Mid
2016-12-14	IJ	Mid
2016-12-14	KLZ	Mid
2016-12-14	QRSTY	Low
2016-12-15	ABEF	Mid
2016-12-15	CDGH	Mid
2016-12-15	IJ	Mid
2016-12-15	KLZ	Mid
2016-12-15	QRSTY	Low
2016-12-16	ABEF	Mid
2016-12-16	CDGH	Mid
2016-12-16	IJ	Mid
2016-12-16	KLZ	Mid
2016-12-16	QRSTY	Low
2016-12-17	ABEF	Mid
2016-12-17	CDGH	Mid
2016-12-17	IJ	Mid
2016-12-17	KLZ	Mid
2016-12-17	QRSTY	Low
2016-12-18	ABEF	Mid
2016-12-18	CDGH	Mid
2016-12-18	IJ	Mid
2016-12-18	KLZ	Mid
2016-12-18	QRSTY	Low
2016-12-19	ABEF	Mid
2016-12-19	CDGH	Mid
2016-12-19	IJ	Mid
2016-12-19	KLZ	Mid
2016-12-19	QRSTY	Low
2016-12-20	ABEF	Mid
2016-12-20	CDGH	Mid
2016-12-20	IJ	Mid
2016-12-20	KLZ	Mid
2016-12-20	QRSTY	Low
2016-12-21	ABEF	Mid
2016-12-21	CDGH	Mid
2016-12-21	IJ	Mid
2016-12-21	KLZ	Mid
2016-12-21	QRSTY	Low
2016-12-22	ABEF	Mid
2016-12-22	CDGH	Mid
2016-12-22	IJ	Mid
2016-12-22	KLZ	Mid
2016-12-22	QRSTY	Low
2016-12-23	ABEF	Mid
2016-12-23	CDGH	Mid
2016-12-23	IJ	Mid
2016-12-23	KLZ	Mid
2016-12-23	QRSTY	Low
2016-12-24	ABEF	Mid
2016-12-24	CDGH	Mid
2016-12-24	IJ	Mid
2016-12-24	KLZ	Mid
2016-12-24	QRSTY	Low
2016-12-25	ABEF	Mid
2016-12-25	CDGH	Mid
2016-12-25	IJ	Mid
2016-12-25	KLZ	Mid
2016-12-25	QRSTY	Low
2016-12-26	ABEF	Mid
2016-12-26	CDGH	Mid
2016-12-26	IJ	Mid
2016-12-26	KLZ	Mid
2016-12-26	QRSTY	Low
2016-12-27	ABEF	Mid
2016-12-27	CDGH	Mid
2016-12-27	IJ	Mid
2016-12-27	KLZ	Mid
2016-12-27	QRSTY	Low
2016-12-28	ABEF	Mid
2016-12-28	CDGH	Mid
2016-12-28	IJ	Mid
2016-12-28	KLZ	Mid
2016-12-28	QRSTY	Low
2016-12-29	ABEF	Mid
2016-12-29	CDGH	Mid
2016-12-29	IJ	Mid
2016-12-29	KLZ	Mid
2016-12-29	QRSTY	Low
2016-12-30	ABEF	Mid
2016-12-30	CDGH	Mid
2016-12-30	IJ	Mid
2016-12-30	KLZ	Mid
2016-12-30	QRSTY	Low
2016-12-31	ABEF	Mid
2016-12-31	CDGH	Mid
2016-12-31	IJ	Mid
2016-12-31	KLZ	Mid
2016-12-31	QRSTY	Low
2017-01-01	ABEF	High
2017-01-01	CDGH	High
2017-01-01	IJ	Mid
2017-01-01	KLZ	High
2017-01-01	QRSTY	Mid
2017-01-02	ABEF	High
2017-01-02	CDGH	High
2017-01-02	IJ	Mid
2017-01-02	KLZ	High
2017-01-02	QRSTY	Mid
2017-01-03	ABEF	High
2017-01-03	CDGH	High
2017-01-03	IJ	Mid
2017-01-03	KLZ	High
