Dates_DOS	Season	Major Events	Date_of_Week	DoW_Nr	WD_WE	Month
2018-08-23	Low	 EID AL ADHA 	Thu	5	WE	Aug
2018-08-22	Low	 EID AL ADHA 	Wed	4	WD	Aug
2018-08-21	Low	 EID AL ADHA 	Tue	3	WD	Aug
2018-08-20	Low		Mon	2	WD	Aug
2018-08-19	Low		Sun	1	WD	Aug
2018-08-18	Low		Sat	7	WE	Aug
2018-08-17	Low		Fri	6	WE	Aug
2018-08-16	Low		Thu	5	WE	Aug
2018-08-15	Low		Wed	4	WD	Aug
2018-08-14	Low		Tue	3	WD	Aug
2018-08-13	Low		Mon	2	WD	Aug
2018-08-12	Low		Sun	1	WD	Aug
2018-08-11	Low		Sat	7	WE	Aug
2018-08-10	Low		Fri	6	WE	Aug
2018-08-09	Low		Thu	5	WE	Aug
2018-08-08	Low		Wed	4	WD	Aug
2018-08-07	Low		Tue	3	WD	Aug
2018-08-06	Low		Mon	2	WD	Aug
2018-08-05	Low		Sun	1	WD	Aug
2018-08-04	Low		Sat	7	WE	Aug
2018-08-03	Low		Fri	6	WE	Aug
2018-08-02	Low		Thu	5	WE	Aug
2018-08-01	Low		Wed	4	WD	Aug
2018-07-31	Low		Tue	3	WD	Jul
2018-07-30	Low		Mon	2	WD	Jul
2018-07-29	Low		Sun	1	WD	Jul
2018-07-28	Low		Sat	7	WE	Jul
2018-07-27	Low		Fri	6	WE	Jul
2018-07-26	Low		Thu	5	WE	Jul
2018-07-25	Low		Wed	4	WD	Jul
2018-07-24	Low		Tue	3	WD	Jul
2018-07-23	Low		Mon	2	WD	Jul
2018-07-22	Low		Sun	1	WD	Jul
2018-07-21	Low		Sat	7	WE	Jul
2018-07-20	Low		Fri	6	WE	Jul
2018-07-19	Low		Thu	5	WE	Jul
2018-07-18	Low		Wed	4	WD	Jul
2018-07-17	Low		Tue	3	WD	Jul
2018-07-16	Low		Mon	2	WD	Jul
2018-07-15	Low		Sun	1	WD	Jul
2018-07-14	Low		Sat	7	WE	Jul
2018-07-13	Low		Fri	6	WE	Jul
2018-07-12	Low		Thu	5	WE	Jul
2018-07-11	Low		Wed	4	WD	Jul
2018-07-10	Low		Tue	3	WD	Jul
2018-07-09	Low		Mon	2	WD	Jul
2018-07-08	Low		Sun	1	WD	Jul
2018-07-07	Low		Sat	7	WE	Jul
2018-07-06	Low		Fri	6	WE	Jul
2018-07-05	Low		Thu	5	WE	Jul
2018-07-04	Low		Wed	4	WD	Jul
2018-07-03	Low		Tue	3	WD	Jul
2018-07-02	Low		Mon	2	WD	Jul
2018-07-01	Low		Sun	1	WD	Jul
2018-06-30	Mid		Sat	7	WE	Jun
2018-06-29	Mid		Fri	6	WE	Jun
2018-06-28	Mid		Thu	5	WE	Jun
2018-06-27	Mid		Wed	4	WD	Jun
2018-06-26	Mid		Tue	3	WD	Jun
2018-06-25	Mid		Mon	2	WD	Jun
2018-06-24	Mid		Sun	1	WD	Jun
2018-06-23	Mid		Sat	7	WE	Jun
2018-06-22	Mid		Fri	6	WE	Jun
2018-06-21	Mid		Thu	5	WE	Jun
2018-06-20	Mid		Wed	4	WD	Jun
2018-06-19	Mid		Tue	3	WD	Jun
2018-06-18	Mid		Mon	2	WD	Jun
2018-06-17	Mid	"EID-AL FITR"	Sun	1	WD	Jun
2018-06-16	Mid	"EID-AL FITR"	Sat	7	WE	Jun
2018-06-15	Mid	"EID-AL FITR"	Fri	6	WE	Jun
2018-06-14	Ramadan	"EID-AL FITR"	Thu	5	WE	Jun
2018-06-13	Ramadan		Wed	4	WD	Jun
2018-06-12	Ramadan		Tue	3	WD	Jun
2018-06-11	Ramadan		Mon	2	WD	Jun
2018-06-10	Ramadan		Sun	1	WD	Jun
2018-06-09	Ramadan		Sat	7	WE	Jun
2018-06-08	Ramadan		Fri	6	WE	Jun
2018-06-07	Ramadan		Thu	5	WE	Jun
2018-06-06	Ramadan		Wed	4	WD	Jun
2018-06-05	Ramadan		Tue	3	WD	Jun
2018-06-04	Ramadan		Mon	2	WD	Jun
2018-06-03	Ramadan		Sun	1	WD	Jun
2018-06-02	Ramadan		Sat	7	WE	Jun
2018-06-01	Ramadan		Fri	6	WE	Jun
2018-05-31	Ramadan		Thu	5	WE	May
2018-05-30	Ramadan		Wed	4	WD	May
2018-05-29	Ramadan		Tue	3	WD	May
2018-05-28	Ramadan		Mon	2	WD	May
2018-05-27	Ramadan		Sun	1	WD	May
2018-05-26	Ramadan		Sat	7	WE	May
2018-05-25	Ramadan		Fri	6	WE	May
2018-05-24	Ramadan		Thu	5	WE	May
2018-05-23	Ramadan		Wed	4	WD	May
2018-05-22	Ramadan		Tue	3	WD	May
2018-05-21	Ramadan		Mon	2	WD	May
2018-05-20	Ramadan		Sun	1	WD	May
2018-05-19	Ramadan		Sat	7	WE	May
2018-05-18	Ramadan		Fri	6	WE	May
2018-05-17	Ramadan		Thu	5	WE	May
2018-05-16	Ramadan		Wed	4	WD	May
2018-05-15	Ramadan		Tue	3	WD	May
2018-05-14	Low		Mon	2	WD	May
2018-05-13	Low		Sun	1	WD	May
2018-05-12	Low		Sat	7	WE	May
2018-05-11	Low		Fri	6	WE	May
2018-05-10	Low		Thu	5	WE	May
2018-05-09	Low		Wed	4	WD	May
2018-05-08	Low		Tue	3	WD	May
2018-05-07	Low		Mon	2	WD	May
2018-05-06	Low		Sun	1	WD	May
2018-05-05	Low		Sat	7	WE	May
2018-05-04	Low		Fri	6	WE	May
2018-05-03	Low		Thu	5	WE	May
2018-05-02	Low		Wed	4	WD	May
2018-05-01	Low		Tue	3	WD	May
2018-04-30	High		Mon	2	WD	Apr
2018-04-29	High		Sun	1	WD	Apr
2018-04-28	High		Sat	7	WE	Apr
2018-04-27	High		Fri	6	WE	Apr
2018-04-26	High		Thu	5	WE	Apr
2018-04-25	High		Wed	4	WD	Apr
2018-04-24	High		Tue	3	WD	Apr
2018-04-23	High		Mon	2	WD	Apr
2018-04-22	High		Sun	1	WD	Apr
2018-04-21	High		Sat	7	WE	Apr
2018-04-20	High		Fri	6	WE	Apr
2018-04-19	High		Thu	5	WE	Apr
2018-04-18	High		Wed	4	WD	Apr
2018-04-17	High		Tue	3	WD	Apr
2018-04-16	High		Mon	2	WD	Apr
2018-04-15	High	GETEX Spring	Sun	1	WD	Apr
2018-04-14	High	GETEX Spring	Sat	7	WE	Apr
2018-04-13	High	GETEX Spring	Fri	6	WE	Apr
2018-04-12	High	GETEX Spring	Thu	5	WE	Apr
2018-04-11	High	GETEX Spring	Wed	4	WD	Apr
2018-04-10	High	GETEX Spring	Tue	3	WD	Apr
2018-04-09	High		Mon	2	WD	Apr
2018-04-08	High	GITEX Shopper	Sun	1	WD	Apr
2018-04-07	High	GITEX Shopper	Sat	7	WE	Apr
2018-04-06	High	GITEX Shopper	Fri	6	WE	Apr
2018-04-05	High	GITEX Shopper	Thu	5	WE	Apr
2018-04-04	High	GITEX Shopper	Wed	4	WD	Apr
2018-04-03	High		Tue	3	WD	Apr
2018-04-02	High		Mon	2	WD	Apr
2018-04-01	High		Sun	1	WD	Apr
2018-03-31	High		Sat	7	WE	Mar
2018-03-30	High	Big 5 Heavy	Fri	6	WE	Mar
2018-03-29	High	Big 5 Heavy	Thu	5	WE	Mar
2018-03-28	High	Big 5 Heavy	Wed	4	WD	Mar
2018-03-27	High	Big 5 Heavy	Tue	3	WD	Mar
2018-03-26	High	Big 5 Heavy	Mon	2	WD	Mar
2018-03-25	High	Big 5 Heavy	Sun	1	WD	Mar
2018-03-24	High	Big 5 Heavy	Sat	7	WE	Mar
2018-03-23	High		Fri	6	WE	Mar
2018-03-22	High		Thu	5	WE	Mar
2018-03-21	High	Arab Lab	Wed	4	WD	Mar
2018-03-20	High	Arab Lab	Tue	3	WD	Mar
2018-03-19	High	Arab Lab	Mon	2	WD	Mar
2018-03-18	High		Sun	1	WD	Mar
2018-03-17	High		Sat	7	WE	Mar
2018-03-16	High		Fri	6	WE	Mar
2018-03-15	High		Thu	5	WE	Mar
2018-03-14	High		Wed	4	WD	Mar
2018-03-13	High		Tue	3	WD	Mar
2018-03-12	High		Mon	2	WD	Mar
2018-03-11	High		Sun	1	WD	Mar
2018-03-10	High		Sat	7	WE	Mar
2018-03-09	High		Fri	6	WE	Mar
2018-03-08	High		Thu	5	WE	Mar
2018-03-07	High		Wed	4	WD	Mar
2018-03-06	High		Tue	3	WD	Mar
2018-03-05	High		Mon	2	WD	Mar
2018-03-04	High		Sun	1	WD	Mar
2018-03-03	High		Sat	7	WE	Mar
2018-03-02	High		Fri	6	WE	Mar
2018-03-01	High		Thu	5	WE	Mar
2018-02-28	High		Wed	4	WD	Feb
2018-02-27	High		Tue	3	WD	Feb
2018-02-26	High		Mon	2	WD	Feb
2018-02-25	High		Sun	1	WD	Feb
2018-02-24	High		Sat	7	WE	Feb
2018-02-23	High		Fri	6	WE	Feb
2018-02-22	High		Thu	5	WE	Feb
2018-02-21	High	Gulfood	Wed	4	WD	Feb
2018-02-20	High	Gulfood	Tue	3	WD	Feb
2018-02-19	High	Gulfood	Mon	2	WD	Feb
2018-02-18	High	Gulfood	Sun	1	WD	Feb
2018-02-17	High		Sat	7	WE	Feb
2018-02-16	High		Fri	6	WE	Feb
2018-02-15	High		Thu	5	WE	Feb
2018-02-14	High		Wed	4	WD	Feb
2018-02-13	High		Tue	3	WD	Feb
2018-02-12	High		Mon	2	WD	Feb
2018-02-11	High		Sun	1	WD	Feb
2018-02-10	High		Sat	7	WE	Feb
2018-02-09	High		Fri	6	WE	Feb
