Dates_DOS	Season	Major Events	Date_of_Week	DoW_Nr	WD_WE	Month
2017-06-09	Ramadan		Fri	6	WE	Jun
2017-06-08	Ramadan		Thu	5	WE	Jun
2017-06-07	Ramadan		Wed	4	WD	Jun
2017-06-06	Ramadan		Tue	3	WD	Jun
2017-06-05	Ramadan		Mon	2	WD	Jun
2017-06-04	Ramadan		Sun	1	WD	Jun
2017-06-03	Ramadan		Sat	7	WE	Jun
2017-06-02	Ramadan		Fri	6	WE	Jun
2017-06-01	Ramadan		Thu	5	WE	Jun
2017-05-31	Ramadan		Wed	4	WD	May
2017-05-30	Ramadan		Tue	3	WD	May
2017-05-29	Ramadan		Mon	2	WD	May
2017-05-28	Ramadan		Sun	1	WD	May
2017-05-27	Ramadan		Sat	7	WE	May
2017-05-26	Ramadan		Fri	6	WE	May
2017-05-25	Low		Thu	5	WE	May
2017-05-24	Low		Wed	4	WD	May
2017-05-23	Low		Tue	3	WD	May
2017-05-22	Low		Mon	2	WD	May
2017-05-21	Low		Sun	1	WD	May
2017-05-20	Low		Sat	7	WE	May
2017-05-19	Low		Fri	6	WE	May
2017-05-18	Low		Thu	5	WE	May
2017-05-17	Low		Wed	4	WD	May
2017-05-16	Low		Tue	3	WD	May
2017-05-15	Low		Mon	2	WD	May
2017-05-14	Low		Sun	1	WD	May
2017-05-13	Low		Sat	7	WE	May
2017-05-12	Low		Fri	6	WE	May
2017-05-11	Low		Thu	5	WE	May
2017-05-10	Low		Wed	4	WD	May
2017-05-09	Low		Tue	3	WD	May
2017-05-08	Low		Mon	2	WD	May
2017-05-07	Low		Sun	1	WD	May
2017-05-06	Low		Sat	7	WE	May
2017-05-05	Low		Fri	6	WE	May
2017-05-04	Low		Thu	5	WE	May
2017-05-03	Low		Wed	4	WD	May
2017-05-02	Low		Tue	3	WD	May
2017-05-01	Low		Mon	2	WD	May
2017-04-30	High		Sun	1	WD	Apr
2017-04-29	High		Sat	7	WE	Apr
2017-04-28	High		Fri	6	WE	Apr
2017-04-27	High		Thu	5	WE	Apr
2017-04-26	High		Wed	4	WD	Apr
2017-04-25	High		Tue	3	WD	Apr
2017-04-24	High		Mon	2	WD	Apr
2017-04-23	High		Sun	1	WD	Apr
2017-04-22	High		Sat	7	WE	Apr
2017-04-21	High		Fri	6	WE	Apr
2017-04-20	High		Thu	5	WE	Apr
2017-04-19	High		Wed	4	WD	Apr
2017-04-18	High		Tue	3	WD	Apr
2017-04-17	High		Mon	2	WD	Apr
2017-04-16	High		Sun	1	WD	Apr
2017-04-15	High		Sat	7	WE	Apr
2017-04-14	High		Fri	6	WE	Apr
2017-04-13	High		Thu	5	WE	Apr
2017-04-12	High		Wed	4	WD	Apr
2017-04-11	High		Tue	3	WD	Apr
2017-04-10	High		Mon	2	WD	Apr
2017-04-09	High		Sun	1	WD	Apr
2017-04-08	High		Sat	7	WE	Apr
2017-04-07	High		Fri	6	WE	Apr
2017-04-06	High		Thu	5	WE	Apr
2017-04-05	High		Wed	4	WD	Apr
2017-04-04	High		Tue	3	WD	Apr
2017-04-03	High		Mon	2	WD	Apr
2017-04-02	High		Sun	1	WD	Apr
2017-04-01	High		Sat	7	WE	Apr
2017-03-31	High		Fri	6	WE	Mar
2017-03-30	High		Thu	5	WE	Mar
2017-03-29	High		Wed	4	WD	Mar
2017-03-28	High		Tue	3	WD	Mar
2017-03-27	High		Mon	2	WD	Mar
2017-03-26	High		Sun	1	WD	Mar
2017-03-25	High		Sat	7	WE	Mar
2017-03-24	High		Fri	6	WE	Mar
2017-03-23	High	Arab Lab	Thu	5	WE	Mar
2017-03-22	High	Arab Lab	Wed	4	WD	Mar
2017-03-21	High	Arab Lab	Tue	3	WD	Mar
2017-03-20	High	Arab Lab	Mon	2	WD	Mar
2017-03-19	High		Sun	1	WD	Mar
2017-03-18	High		Sat	7	WE	Mar
2017-03-17	High		Fri	6	WE	Mar
2017-03-16	High		Thu	5	WE	Mar
2017-03-15	High		Wed	4	WD	Mar
2017-03-14	High		Tue	3	WD	Mar
2017-03-13	High		Mon	2	WD	Mar
2017-03-12	High		Sun	1	WD	Mar
2017-03-11	High		Sat	7	WE	Mar
2017-03-10	High		Fri	6	WE	Mar
2017-03-09	High		Thu	5	WE	Mar
2017-03-08	High		Wed	4	WD	Mar
2017-03-07	High		Tue	3	WD	Mar
2017-03-06	High		Mon	2	WD	Mar
2017-03-05	High		Sun	1	WD	Mar
2017-03-04	High		Sat	7	WE	Mar
2017-03-03	High		Fri	6	WE	Mar
2017-03-02	High	Gulfood	Thu	5	WE	Mar
2017-03-01	High	Gulfood	Wed	4	WD	Mar
2017-02-28	High	Gulfood	Tue	3	WD	Feb
2017-02-27	High	Gulfood	Mon	2	WD	Feb
2017-02-26	High	Gulfood	Sun	1	WD	Feb
2017-02-25	High		Sat	7	WE	Feb
2017-02-24	High		Fri	6	WE	Feb
2017-02-23	High		Thu	5	WE	Feb
2017-02-22	High		Wed	4	WD	Feb
2017-02-21	High		Tue	3	WD	Feb
2017-02-20	High		Mon	2	WD	Feb
2017-02-19	High		Sun	1	WD	Feb
2017-02-18	High		Sat	7	WE	Feb
2017-02-17	High		Fri	6	WE	Feb
2017-02-16	High		Thu	5	WE	Feb
2017-02-15	High		Wed	4	WD	Feb
2017-02-14	High		Tue	3	WD	Feb
2017-02-13	High		Mon	2	WD	Feb
2017-02-12	High		Sun	1	WD	Feb
2017-02-11	High		Sat	7	WE	Feb
2017-02-10	High		Fri	6	WE	Feb
2017-02-09	High		Thu	5	WE	Feb
2017-02-08	High		Wed	4	WD	Feb
2017-02-07	High		Tue	3	WD	Feb
2017-02-06	High		Mon	2	WD	Feb
2017-02-05	High		Sun	1	WD	Feb
2017-02-04	High		Sat	7	WE	Feb
2017-02-03	High		Fri	6	WE	Feb
2017-02-02	High	Arab Health	Thu	5	WE	Feb
2017-02-01	High	Arab Health	Wed	4	WD	Feb
2017-01-31	High	Arab Health	Tue	3	WD	Jan
2017-01-30	High	Arab Health	Mon	2	WD	Jan
2017-01-29	High	Arab Health	Sun	1	WD	Jan
2017-01-28	High	Arab Health	Sat	7	WE	Jan
2017-01-27	High	Arab Health	Fri	6	WE	Jan
2017-01-26	High		Thu	5	WE	Jan
2017-01-25	High		Wed	4	WD	Jan
2017-01-24	High		Tue	3	WD	Jan
2017-01-23	High		Mon	2	WD	Jan
2017-01-22	High		Sun	1	WD	Jan
2017-01-21	High		Sat	7	WE	Jan
2017-01-20	High		Fri	6	WE	Jan
2017-01-19	High		Thu	5	WE	Jan
2017-01-18	High		Wed	4	WD	Jan
2017-01-17	High		Tue	3	WD	Jan
2017-01-16	High		Mon	2	WD	Jan
2017-01-15	High		Sun	1	WD	Jan
2017-01-14	High		Sat	7	WE	Jan
2017-01-13	High		Fri	6	WE	Jan
2017-01-12	High		Thu	5	WE	Jan
2017-01-11	High		Wed	4	WD	Jan
2017-01-10	High	Arabplast	Tue	3	WD	Jan
2017-01-09	High	Arabplast	Mon	2	WD	Jan
2017-01-08	High	Arabplast	Sun	1	WD	Jan
2017-01-07	High		Sat	7	WE	Jan
2017-01-06	High		Fri	6	WE	Jan
2017-01-05	High		Thu	5	WE	Jan
2017-01-04	High		Wed	4	WD	Jan
2017-01-03	High		Tue	3	WD	Jan
2017-01-02	High	NY	Mon	2	WD	Jan
2017-01-01	High	NY	Sun	1	WD	Jan
